Type,Commodity,KGs,Value_of_Goods_Exported,Date
Cut-flowers,Ornithogulum,10442.14,3111161.0,02/25/2015 12:00:00 AM
Cut-flowers,Phlox,6520.78,650954.0,02/25/2015 12:00:00 AM
Cut-flowers,Rosemary,1367.88,348435.0,02/25/2015 12:00:00 AM
Cut-flowers,Roses,11049185.48,4838506443.0,02/25/2015 12:00:00 AM
Cut-flowers,Rudbeckia,651.23,146438.0,02/25/2015 12:00:00 AM
Cut-flowers,Ruscus/flower cabbage,5746.86,2131993.0,02/25/2015 12:00:00 AM
Cut-flowers,Scabiosa,1582.65,434548.0,02/25/2015 12:00:00 AM
Cut-flowers,Setaria,11.9,7288.0,02/25/2015 12:00:00 AM
Cut-flowers,Solidago,96454.35,40702896.0,02/25/2015 12:00:00 AM
Cut-flowers,Statice/limonium,81723.13,26555265.0,02/25/2015 12:00:00 AM
Cut-flowers,Strelitzia/birds of paradise,231.69,78370.0,02/25/2015 12:00:00 AM
Cut-flowers,Tuberose,5515.54,1257215.0,02/25/2015 12:00:00 AM
Cut-flowers,Veronica,50546.51,13511202.0,02/25/2015 12:00:00 AM
Cut-flowers,Hydrangea,21337.61,9755793.0,02/25/2015 12:00:00 AM
Cut-flowers,Carnation cuttings,120.0,28418.0,02/25/2015 12:00:00 AM
Cut-flowers,Chrysanthemums cuttings,2243.5,630321.0,02/25/2015 12:00:00 AM
Cut-flowers,Cuttings,187322.2,601461877.0,02/25/2015 12:00:00 AM
Cut-flowers,Geranium cuttings,931.27,2256368.0,02/25/2015 12:00:00 AM
Cut-flowers,Pelargonium cuttings,3365.0,3487479.0,02/25/2015 12:00:00 AM
Fruits,Apple,3055.0,529780.0,02/25/2015 12:00:00 AM
Fruits,Avocado,1503393.97,138829619.0,02/25/2015 12:00:00 AM
Fruits,Banana,90.0,31786.0,02/25/2015 12:00:00 AM
Fruits,Custard apple / sour sop,9018.0,1634599.0,02/25/2015 12:00:00 AM
Fruits,Lemon,836.08,493688.0,02/25/2015 12:00:00 AM
Fruits,Passion,48895.03,12363358.0,02/25/2015 12:00:00 AM
Fruits,Pawpaw,80.0,16361.0,02/25/2015 12:00:00 AM
Fruits,Raspberries/blisses,28860.3,46766980.0,02/25/2015 12:00:00 AM
Fruits,Strawberry,640.0,113812.0,02/25/2015 12:00:00 AM
Fruits,Mango,1330034.71,183104589.0,02/25/2015 12:00:00 AM
Fruits,Macadamia,31037.8,28341504.0,02/25/2015 12:00:00 AM
Vegetables,Aloe vera,30.0,58871.0,02/25/2015 12:00:00 AM
