Type,Commodity,KGs,Value_of_Goods_Exported,Date
Cut-flowers,Mobbydick,5805.36,1635928,02/25/2015 12:00:00 AM
Cut-flowers,Molucella,165.98,47929,02/25/2015 12:00:00 AM
Cut-flowers,Orchids/cymbidium,0,0,02/25/2015 12:00:00 AM
Cut-flowers,Ornithogulum,10442.14,3111161,02/25/2015 12:00:00 AM
Cut-flowers,Papyrus,0,0,02/25/2015 12:00:00 AM
Cut-flowers,Phlox,6520.78,650954,02/25/2015 12:00:00 AM
Cut-flowers,Rosemary,1367.88,348435,02/25/2015 12:00:00 AM
Cut-flowers,Roses,11049185.48,4838506443,02/25/2015 12:00:00 AM
Cut-flowers,Rudbeckia,651.23,146438,02/25/2015 12:00:00 AM
Cut-flowers,Ruscus/flower cabbage,5746.86,2131993,02/25/2015 12:00:00 AM
Cut-flowers,Scabiosa,1582.65,434548,02/25/2015 12:00:00 AM
Cut-flowers,Setaria,11.9,7288,02/25/2015 12:00:00 AM
Cut-flowers,Solidago,96454.35,40702896,02/25/2015 12:00:00 AM
Cut-flowers,Statice/limonium,81723.13,26555265,02/25/2015 12:00:00 AM
Cut-flowers,Strelitzia/birds of paradise,231.69,78370,02/25/2015 12:00:00 AM
Cut-flowers,Tuberose,5515.54,1257215,02/25/2015 12:00:00 AM
Cut-flowers,Veronica,50546.51,13511202,02/25/2015 12:00:00 AM
Cut-flowers,Hydrangea,21337.61,9755793,02/25/2015 12:00:00 AM
Cut-flowers,Carnation cuttings,120,28418,02/25/2015 12:00:00 AM
Cut-flowers,Chrysanthemums cuttings,2243.5,630321,02/25/2015 12:00:00 AM
Cut-flowers,Cuttings,187322.2,601461877,02/25/2015 12:00:00 AM
Cut-flowers,Fuchsia cuttings,0,0,02/25/2015 12:00:00 AM
Cut-flowers,Geranium cuttings,931.27,2256368,02/25/2015 12:00:00 AM
Cut-flowers,Osteospermum cuttings,0,0,02/25/2015 12:00:00 AM
Cut-flowers,Pelargonium cuttings,3365,3487479,02/25/2015 12:00:00 AM
Cut-flowers,Rose cuttings,0,0,02/25/2015 12:00:00 AM
Fruits,Apple,3055,529780,02/25/2015 12:00:00 AM
